Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement
437.leslie3d-s0.trace.gz,no,N/A,0.0,26.59448394681103,N/A,0.481602,N/A
437.leslie3d-s0.trace.gz,yours,N/A,0.0,26.59448394681103,0.14617726843601964,0.481602,0.0
437.leslie3d-s0.trace.gz,sisb_bo,94.22356864842747,48.82301165872451,13.623083972753832,48.849655635612045,0.817821,69.8126253628515
bfs-3.trace.gz,no,N/A,0.0,18.00340996399318,N/A,0.278255,N/A
bfs-3.trace.gz,yours,N/A,0.0,18.00340996399318,0.15596012585063318,0.278255,0.0
bfs-3.trace.gz,sisb_bo,65.9466004997908,65.36054594487601,6.636015986727968,63.19771387145584,0.422149,51.71299707103197
471.omnetpp-s0.trace.gz,no,N/A,0.0,10.284726,N/A,0.544896,N/A
471.omnetpp-s0.trace.gz,yours,N/A,0.0,10.284726,0.0,0.544896,0.0
471.omnetpp-s0.trace.gz,sisb_bo,26.989220143382514,32.313189315765314,12.292932,-19.526101132883866,0.574157,5.370015562602768
bfs-8.trace.gz,no,N/A,0.0,17.358687965282623,N/A,0.26893,N/A
bfs-8.trace.gz,yours,N/A,0.0,17.358687965282623,0.14805205532814955,0.26893,0.0
bfs-8.trace.gz,sisb_bo,72.4563823227178,75.31301933091157,4.3091499913817,75.21258395301635,0.429854,59.83861971516752
pr-5.trace.gz,no,N/A,0.0,61.363245877273506,N/A,0.062016,N/A
pr-5.trace.gz,yours,N/A,0.0,61.363245877273506,0.0005638522595013262,0.062016,0.0
pr-5.trace.gz,sisb_bo,39.61670268156897,30.105707854095016,50.01811389996377,18.488940477930303,0.0641847,3.497000773993801
470.lbm-s0.trace.gz,no,N/A,0.0,31.392866,N/A,0.579287,N/A
470.lbm-s0.trace.gz,yours,N/A,0.0,31.392866,0.0031725946938197993,0.579287,0.0
470.lbm-s0.trace.gz,sisb_bo,99.66173247397828,17.172776023204747,26.001856,17.175351028809384,0.708455,22.29775568932152
429.mcf-s1.trace.gz,no,N/A,0.0,89.622078,N/A,0.0619423,N/A
429.mcf-s1.trace.gz,yours,N/A,0.0,89.622078,0.010627947704688993,0.0619423,0.0
429.mcf-s1.trace.gz,sisb_bo,59.69375099814267,11.057548990178292,75.223544,16.074754168183794,0.0678826,9.590053969581373
pr-10.trace.gz,no,N/A,0.0,61.72360987655278,N/A,0.0617344,N/A
